KEY,PREF,CITY,KCITY,RCOM,CITY_NAME,SPECIES,YEAR,NUMBER
2610100000,26,101,0,0,Kita,cattle,2023,0
2610200000,26,102,0,0,Kamigyo,cattle,2023,0
2610300000,26,103,0,0,Sakyo,cattle,2023,64
2610300000,26,103,0,0,Sakyo,cattle,2021,35
2610300000,26,103,0,0,Sakyo,cattle,2020,17
2610300000,26,103,0,0,Sakyo,cattle,2019,11
2610300000,26,103,0,0,Sakyo,chicken,2023,6665
2610300000,26,103,0,0,Sakyo,chicken,2022,6174
2610300000,26,103,0,0,Sakyo,chicken,2021,6125
2610300000,26,103,0,0,Sakyo,chicken,2020,6055
2610300000,26,103,0,0,Sakyo,chicken,2019,5863
2610300000,26,103,0,0,Sakyo,broiler,2023,128
2610300000,26,103,0,0,Sakyo,broiler,2022,175
2610300000,26,103,0,0,Sakyo,broiler,2021,179
2610300000,26,103,0,0,Sakyo,broiler,2020,100
2610300000,26,103,0,0,Sakyo,broiler,2019,312
2610400000,26,104,0,0,Nakagyo,cattle,2023,0
2610500000,26,105,0,0,Higashiyama,cattle,2023,0
2610600000,26,106,0,0,Shimogyo,cattle,2023,0
2610700000,26,107,0,0,Minami,chicken,2023,3332
2610700000,26,107,0,0,Minami,chicken,2022,3086
2610700000,26,107,0,0,Minami,chicken,2021,3062
2610700000,26,107,0,0,Minami,chicken,2020,3028
2610700000,26,107,0,0,Minami,chicken,2019,2931
2610800000,26,108,0,0,Ukyo,cattle,2023,0
2610900000,26,109,0,0,Fushimi,chicken,2023,3332
2610900000,26,109,0,0,Fushimi,chicken,2022,3086
2610900000,26,109,0,0,Fushimi,chicken,2021,3062
2610900000,26,109,0,0,Fushimi,chicken,2020,3028
2610900000,26,109,0,0,Fushimi,chicken,2019,2931
2611000000,26,110,0,0,Yamashina,cattle,2023,4
2611000000,26,110,0,0,Yamashina,cattle,2022,4
2611000000,26,110,0,0,Yamashina,cattle,2021,4
2611000000,26,110,0,0,Yamashina,cattle,2020,4
2611000000,26,110,0,0,Yamashina,cattle,2019,4
2611100000,26,111,0,0,Nishikyo,cattle,2023,0
2620100000,26,201,0,0,Fukuchiyama,cattle,2023,61
2620100000,26,201,0,0,Fukuchiyama,cattle,2022,77
2620100000,26,201,0,0,Fukuchiyama,cattle,2021,92
2620100000,26,201,0,0,Fukuchiyama,cattle,2020,87
2620100000,26,201,0,0,Fukuchiyama,cattle,2019,95
2620100000,26,201,0,0,Fukuchiyama,cattle,2023,225
2620100000,26,201,0,0,Fukuchiyama,cattle,2022,268
2620100000,26,201,0,0,Fukuchiyama,cattle,2021,238
2620100000,26,201,0,0,Fukuchiyama,cattle,2020,237
2620100000,26,201,0,0,Fukuchiyama,cattle,2019,240
2620100000,26,201,0,0,Fukuchiyama,swine,2023,24
2620100000,26,201,0,0,Fukuchiyama,swine,2022,29
2620100000,26,201,0,0,Fukuchiyama,swine,2021,48
2620100000,26,201,0,0,Fukuchiyama,swine,2020,16
2620100000,26,201,0,0,Fukuchiyama,swine,2019,35
2620100000,26,201,0,0,Fukuchiyama,chicken,2023,583710
2620100000,26,201,0,0,Fukuchiyama,chicken,2022,584995
2620100000,26,201,0,0,Fukuchiyama,chicken,2021,581589
2620100000,26,201,0,0,Fukuchiyama,chicken,2020,532903
2620100000,26,201,0,0,Fukuchiyama,chicken,2019,536375
2620100000,26,201,0,0,Fukuchiyama,broiler,2023,439962
2620100000,26,201,0,0,Fukuchiyama,broiler,2022,437200
2620100000,26,201,0,0,Fukuchiyama,broiler,2021,463518
2620100000,26,201,0,0,Fukuchiyama,broiler,2020,419400
2620100000,26,201,0,0,Fukuchiyama,broiler,2019,439100
2620200000,26,202,0,0,Maizuru,dairy,2023,131
2620200000,26,202,0,0,Maizuru,dairy,2022,135
2620200000,26,202,0,0,Maizuru,dairy,2021,154
2620200000,26,202,0,0,Maizuru,dairy,2020,176
2620200000,26,202,0,0,Maizuru,dairy,2019,184
2620200000,26,202,0,0,Maizuru,cattle,2023,6
2620200000,26,202,0,0,Maizuru,cattle,2022,9
2620200000,26,202,0,0,Maizuru,cattle,2021,10
2620200000,26,202,0,0,Maizuru,cattle,2020,7
2620200000,26,202,0,0,Maizuru,cattle,2019,4
2620200000,26,202,0,0,Maizuru,swine,2023,4
2620200000,26,202,0,0,Maizuru,swine,2022,2
2620200000,26,202,0,0,Maizuru,swine,2021,2
2620200000,26,202,0,0,Maizuru,swine,2020,4
2620200000,26,202,0,0,Maizuru,swine,2019,3
2620200000,26,202,0,0,Maizuru,chicken,2023,155324
2620200000,26,202,0,0,Maizuru,chicken,2022,158919
2620200000,26,202,0,0,Maizuru,chicken,2021,159815
2620200000,26,202,0,0,Maizuru,chicken,2020,157948
2620200000,26,202,0,0,Maizuru,chicken,2019,160837
2620300000,26,203,0,0,Ayabe,dairy,2023,1072
2620300000,26,203,0,0,Ayabe,dairy,2022,1116
2620300000,26,203,0,0,Ayabe,dairy,2021,1089
2620300000,26,203,0,0,Ayabe,dairy,2020,1032
2620300000,26,203,0,0,Ayabe,dairy,2019,1014
2620300000,26,203,0,0,Ayabe,cattle,2023,676
2620300000,26,203,0,0,Ayabe,cattle,2022,736
2620300000,26,203,0,0,Ayabe,cattle,2021,735
2620300000,26,203,0,0,Ayabe,cattle,2020,722
2620300000,26,203,0,0,Ayabe,cattle,2019,791
2620300000,26,203,0,0,Ayabe,swine,2023,5
2620300000,26,203,0,0,Ayabe,swine,2022,3
2620300000,26,203,0,0,Ayabe,swine,2021,3
2620300000,26,203,0,0,Ayabe,swine,2020,3
2620300000,26,203,0,0,Ayabe,swine,2019,7
2620300000,26,203,0,0,Ayabe,chicken,2023,108580
2620300000,26,203,0,0,Ayabe,chicken,2022,132327
2620300000,26,203,0,0,Ayabe,chicken,2021,132572
2620300000,26,203,0,0,Ayabe,chicken,2020,112597
2620300000,26,203,0,0,Ayabe,chicken,2019,137499
2620300000,26,203,0,0,Ayabe,broiler,2023,4167
2620300000,26,203,0,0,Ayabe,broiler,2022,3168
2620300000,26,203,0,0,Ayabe,broiler,2021,2900
2620300000,26,203,0,0,Ayabe,broiler,2020,3302
2620300000,26,203,0,0,Ayabe,broiler,2019,3000
2620400000,26,204,0,0,Uji,dairy,2023,32
2620400000,26,204,0,0,Uji,dairy,2022,45
2620400000,26,204,0,0,Uji,dairy,2021,41
2620400000,26,204,0,0,Uji,dairy,2020,43
2620400000,26,204,0,0,Uji,dairy,2019,59
2620400000,26,204,0,0,Uji,cattle,2023,40
2620400000,26,204,0,0,Uji,cattle,2022,34
2620400000,26,204,0,0,Uji,cattle,2021,51
2620400000,26,204,0,0,Uji,cattle,2020,32
2620400000,26,204,0,0,Uji,cattle,2019,22
2620400000,26,204,0,0,Uji,swine,2023,42
2620400000,26,204,0,0,Uji,swine,2022,26
2620400000,26,204,0,0,Uji,swine,2021,25
2620400000,26,204,0,0,Uji,swine,2020,29
2620400000,26,204,0,0,Uji,swine,2019,15
2620400000,26,204,0,0,Uji,chicken,2023,38365
2620400000,26,204,0,0,Uji,chicken,2022,37500
2620400000,26,204,0,0,Uji,chicken,2021,37898
2620400000,26,204,0,0,Uji,chicken,2020,34891
2620400000,26,204,0,0,Uji,chicken,2019,33426
2620500000,26,205,0,0,Miyazu,cattle,2023,15
2620500000,26,205,0,0,Miyazu,cattle,2022,15
2620500000,26,205,0,0,Miyazu,cattle,2021,16
2620500000,26,205,0,0,Miyazu,cattle,2020,11
2620500000,26,205,0,0,Miyazu,cattle,2019,14
2620500000,26,205,0,0,Miyazu,swine,2023,8
2620500000,26,205,0,0,Miyazu,swine,2022,16
2620500000,26,205,0,0,Miyazu,swine,2021,36
2620500000,26,205,0,0,Miyazu,swine,2020,27
2620500000,26,205,0,0,Miyazu,chicken,2023,1475
2620500000,26,205,0,0,Miyazu,chicken,2022,1381
2620500000,26,205,0,0,Miyazu,chicken,2021,1442
2620500000,26,205,0,0,Miyazu,chicken,2020,2087
2620500000,26,205,0,0,Miyazu,chicken,2019,6143
2620600000,26,206,0,0,Kameoka,dairy,2023,138
2620600000,26,206,0,0,Kameoka,dairy,2022,126
2620600000,26,206,0,0,Kameoka,dairy,2021,149
2620600000,26,206,0,0,Kameoka,dairy,2020,150
2620600000,26,206,0,0,Kameoka,dairy,2019,146
2620600000,26,206,0,0,Kameoka,cattle,2023,1831
2620600000,26,206,0,0,Kameoka,cattle,2022,1875
2620600000,26,206,0,0,Kameoka,cattle,2021,1851
