KEY,PREF,CITY,KCITY,RCOM,CITY_NAME,KCITY_NAME,CROP,CULTIVAR,YEAR,EXTENT
2610100000,26,101,0,0,Kita,,RICE,other,2017,4790
2610100000,26,101,0,0,Kita,,RICE,other,2018,4450
2610100000,26,101,0,0,Kita,,RICE,other,2019,4120
2610100000,26,101,0,0,Kita,,RICE,other,2020,3810
2610100000,26,101,0,0,Kita,,RICE,other,2021,3750
2610100000,26,101,0,0,Kita,,RICE,other,2022,3640
2610100000,26,101,0,0,Kita,,VEG,,2023,21280
2610100000,26,101,0,0,Kita,,VEG,,2022,21260
2610100000,26,101,0,0,Kita,,VEG,,2021,21620
2610100000,26,101,0,0,Kita,,VEG,,2020,21740
2610100000,26,101,0,0,Kita,,VEG,,2019,21780
2610100000,26,101,0,0,Kita,,VEG,,2018,21820
2610100000,26,101,0,0,Kita,,VEG,,2017,21880
2610300000,26,102,0,0,Kamigyo,,VEG,,2023,480
2610300000,26,102,0,0,Kamigyo,,VEG,,2022,530
2610300000,26,102,0,0,Kamigyo,,VEG,,2021,530
2610300000,26,102,0,0,Kamigyo,,VEG,,2020,530
2610300000,26,102,0,0,Kamigyo,,VEG,,2019,520
2610300000,26,102,0,0,Kamigyo,,VEG,,2018,530
2610300000,26,102,0,0,Kamigyo,,VEG,,2017,530
2610300000,26,103,0,0,Sakyo,,RICE,other,2017,8820
2610300000,26,103,0,0,Sakyo,,RICE,other,2018,8170
2610300000,26,103,0,0,Sakyo,,RICE,other,2019,7830
2610300000,26,103,0,0,Sakyo,,RICE,other,2020,7600
2610300000,26,103,0,0,Sakyo,,RICE,other,2021,7530
2610300000,26,103,0,0,Sakyo,,RICE,other,2022,7300
2610300000,26,103,0,0,Sakyo,,VEG,,2023,12090
2610300000,26,103,0,0,Sakyo,,VEG,,2022,12050
2610300000,26,103,0,0,Sakyo,,VEG,,2021,12080
2610300000,26,103,0,0,Sakyo,,VEG,,2020,12170
2610300000,26,103,0,0,Sakyo,,VEG,,2019,12140
2610300000,26,103,0,0,Sakyo,,VEG,,2018,12190
2610300000,26,103,0,0,Sakyo,,VEG,,2017,12210
2610400000,26,104,0,0,Nakagyo,,RICE,other,2017,130
2610400000,26,104,0,0,Nakagyo,,RICE,other,2018,110
2610400000,26,104,0,0,Nakagyo,,RICE,other,2019,100
2610400000,26,104,0,0,Nakagyo,,RICE,other,2020,140
2610400000,26,104,0,0,Nakagyo,,RICE,other,2021,140
2610400000,26,104,0,0,Nakagyo,,RICE,other,2022,140
2610400000,26,104,0,0,Nakagyo,,VEG,,2023,280
2610400000,26,104,0,0,Nakagyo,,VEG,,2022,290
2610400000,26,104,0,0,Nakagyo,,VEG,,2021,290
2610400000,26,104,0,0,Nakagyo,,VEG,,2020,290
2610400000,26,104,0,0,Nakagyo,,VEG,,2019,290
2610400000,26,104,0,0,Nakagyo,,VEG,,2018,290
2610400000,26,104,0,0,Nakagyo,,VEG,,2017,290
2610500000,26,105,0,0,Higashiyama,,RICE,other,2017,0
2610500000,26,105,0,0,Higashiyama,,RICE,other,2018,0
2610500000,26,105,0,0,Higashiyama,,RICE,other,2019,0
2610500000,26,105,0,0,Higashiyama,,RICE,other,2020,0
2610500000,26,105,0,0,Higashiyama,,RICE,other,2021,0
2610500000,26,105,0,0,Higashiyama,,RICE,other,2022,0
2610600000,26,106,0,0,Shimogyo,,RICE,other,2017,400
2610600000,26,106,0,0,Shimogyo,,RICE,other,2018,320
2610600000,26,106,0,0,Shimogyo,,RICE,other,2019,350
2610600000,26,106,0,0,Shimogyo,,RICE,other,2020,360
2610600000,26,106,0,0,Shimogyo,,RICE,other,2021,340
2610600000,26,106,0,0,Shimogyo,,RICE,other,2022,320
2610600000,26,106,0,0,Shimogyo,,VEG,,2023,690
2610600000,26,106,0,0,Shimogyo,,VEG,,2022,700
2610600000,26,106,0,0,Shimogyo,,VEG,,2021,740
2610600000,26,106,0,0,Shimogyo,,VEG,,2020,790
2610600000,26,106,0,0,Shimogyo,,VEG,,2019,790
2610600000,26,106,0,0,Shimogyo,,VEG,,2018,790
2610600000,26,106,0,0,Shimogyo,,VEG,,2017,770
2610700000,26,107,0,0,Minami,,RICE,other,2017,5760
2610700000,26,107,0,0,Minami,,RICE,other,2018,5260
2610700000,26,107,0,0,Minami,,RICE,other,2019,5230
2610700000,26,107,0,0,Minami,,RICE,other,2020,5040
2610700000,26,107,0,0,Minami,,RICE,other,2021,5080
2610700000,26,107,0,0,Minami,,RICE,other,2022,4900
2610700000,26,107,0,0,Minami,,VEG,,2023,11850
2610700000,26,107,0,0,Minami,,VEG,,2022,12260
2610700000,26,107,0,0,Minami,,VEG,,2021,12900
2610700000,26,107,0,0,Minami,,VEG,,2020,13350
2610700000,26,107,0,0,Minami,,VEG,,2019,13350
2610700000,26,107,0,0,Minami,,VEG,,2018,13370
2610700000,26,107,0,0,Minami,,VEG,,2017,13440
2610801000,26,108,1,0,Ukyo,Ukyo,RICE,other,2017,12770
2610801000,26,108,1,0,Ukyo,Ukyo,RICE,other,2018,12340
2610801000,26,108,1,0,Ukyo,Ukyo,RICE,other,2019,12220
2610801000,26,108,1,0,Ukyo,Ukyo,RICE,other,2020,12300
2610801000,26,108,1,0,Ukyo,Ukyo,RICE,other,2021,12000
2610801000,26,108,1,0,Ukyo,Ukyo,RICE,other,2022,12310
2610802000,26,108,2,0,Ukyo,Kuroda,RICE,other,2017,611
2610802000,26,108,2,0,Ukyo,Kuroda,RICE,other,2018,598
2610802000,26,108,2,0,Ukyo,Kuroda,RICE,other,2019,589
2610802000,26,108,2,0,Ukyo,Kuroda,RICE,other,2020,586
2610802000,26,108,2,0,Ukyo,Kuroda,RICE,other,2021,580
2610802000,26,108,2,0,Ukyo,Kuroda,RICE,other,2022,562
2610803000,26,108,3,0,Ukyo,Yamaguni,RICE,other,2017,10155
2610803000,26,108,3,0,Ukyo,Yamaguni,RICE,other,2018,9934
2610803000,26,108,3,0,Ukyo,Yamaguni,RICE,other,2019,9795
2610803000,26,108,3,0,Ukyo,Yamaguni,RICE,other,2020,9739
